kingdom	superclass	class	subclass	direct_parent	rows
0	261	334	337	337	6166
0	264	389	1415	1415	6134
0	12	258	2031	2031	6123
0	4707	278	7	1045	6101
0	2	2955	2957	2957	6100
0	264	419	3893	3893	6096
0	2448	25	1142	1142	6063
0	12	256	2213	3829	6062
0	4603	3940	3940	3940	6059
0	2	160	162	174	6014
0	2	1253	61	61	5995
0	2	2389	2389	2389	5985
0	4707	278	501	501	5979
0	2448	23	2572	2572	5958
0	261	476	1391	2505	5943
0	264	265	4450	4450	5938
0	2	2491	108	108	5916
0	2	2490	84	84	5891
0	2	218	1158	2089	5869
0	2448	18	1911	1911	5847
0	264	265	1548	3001	5833
0	267	2866	1032	1032	5828
0	12	258	2321	2321	5774
0	12	259	1553	2380	5770
0	264	402	408	1266	5758
0	289	3737	3738	3718	5734
0	2448	2279	176	1106	5705
0	2448	2279	176	1248	5684
0	400	401	401	401	5683
0	264	265	13	271	5656
0	12	256	2215	3830	5656
0	2	160	162	2362	5644
0	264	402	402	402	5640
0	2	6	6	6	5620
0	12	259	1550	101	5613
0	2448	23	1871	4686	5588
0	279	2246	2246	2246	5555
