subclass	direct_parent	intermediate_nodes	rows
1158	3203		7751
258	258		7747
1551	3782		7737
1831	2434	124	7729
176	4012	1105,4009	7719
2049	2049		7707
1939	1939		7683
2322	2322		7682
510	510		7671
2022	2022	517	7605
226	228	227	7594
1911	2424		7592
3317	3319	3317	7580
1855	1855		7568
2861	2861		7561
408	3458	3457	7559
553	553		7553
2216	1358		7541
3409	1873		7492
467	467		7407
245	247	245	7391
2754	2754		7384
284	3968		7381
1985	1985		7375
1831	133		7369
13	4330	13,60,347	7359
1220	1220		7359
3087	2622	3087	7353
504	504		7350
4083	4083		7343
1831	3674	3131,3672	7340
2017	2018	2017	7332
2585	2596		7328
220	220		7323
176	1992	176	7276
232	232		7236
2218	1367		7235
1908	1908		7230
4676	4676		7228
1549	51	1549	7212
2919	2919		7203
1831	122	118	7188
75	2308	75	7186
262	262		7181
3566	3566		7176
1822	2925		7170
270	270		7169
398	398		7160
2257	2809	2258	7140
13	2964	60,347,2965	7138
1891	1891		7129
3087	3088		7129
2958	2958		7127
2819	2820		7119
434	434		7077
11	3048	215,1258,1366,1697,3049	7075
2177	2177		7073
4105	4731	4638	7066
75	291	75	7063
4504	4453	362	7060
91	91		7042
13	4316	60,347	7019
1909	1909		7011
176	2514	487,1248	7004
1283	1771	1543	7000
1389	1389		6987
176	1251	1248	6964
285	4717	1846,4716	6954
2219	1344		6951
3737	3737		6950
1822	4354	1822,2924	6942
2243	2243		6929
176	2788	2086,2786	6926
1549	1564	1549	6918
13	2403	60,347,1224	6856
210	1865		6836
11	1497	1540	6768
2449	3899	2449	6766
4336	4338		6766
4629	4629		6751
75	1978		6751
1125	1125		6746
403	403		6721
265	265		6721
240	240		6694
93	4002	2562,4001	6692
1331	1331		6654
56	1291		6624
176	4702	1350,4701	6621
2449	1088	2460	6612
1455	1455		6594
1132	1132		6578
2818	2818		6537
250	1149		6535
13	4143	13,60,347	6529
1544	1617		6519
93	4668	2562,4001	6497
3194	4446		6494
1391	59	1391	6491
